Year,CFC11NH,CFC11SH,CFC12NH,CFC12SH,CFC113NH,CFC113SH,CCl4NH,CCl4SH,SF6NH,SF6SH
1976.5,133.97,117.09,248.1,223.2,12.45,10.36,87,82.1,0.51,0.46
1977.5,145.93,129.35,266.9,242.7,14.64,12.25,89.8,84.4,0.59,0.54
1978.5,156.58,140.8,284.3,261.2,16.93,14.34,91.9,86.7,0.67,0.61
1979.5,168.34,148.74,306.1,273.5,19.62,16.63,93.3,88.6,0.78,0.71
1980.5,176.68,159.3,323.2,292.3,22.61,19.32,94.9,89.6,0.9,0.82
1981.5,184.32,167.84,339.6,308.8,25.9,22.21,96.4,90.8,1.02,0.93
1982.5,191.46,176.08,353.4,325.5,29.18,25.3,97.5,92.3,1.16,1.05
1983.5,199.3,184.52,369,342.6,32.97,28.09,98.5,93.5,1.29,1.17
1984.5,208.04,192.46,385.7,359.4,37.85,31.37,99.8,95.1,1.43,1.3
1985.5,217.99,202.01,403.4,378.2,43.92,35.96,100.5,96.6,1.58,1.44
1986.5,229.35,211.36,424.3,396.5,48.31,40.94,101.9,98.2,1.75,1.59
1987.5,241.61,222.21,444,416.3,55.68,47.01,102.5,100,1.92,1.75
1988.5,252.86,233.27,465.4,435.8,63.55,53.29,103.5,100.6,2.09,1.9
1989.5,259.3,242.11,483.6,454.4,69.72,59.66,104.4,101.1,2.27,2.07
1990.5,265.83,251.06,497.7,472.7,75.6,66.14,104.9,102.3,2.46,2.24
1991.5,268.24,256.68,506,487.3,80.98,71.31,105.5,102.5,2.68,2.44
1992.5,268.14,260.8,516.3,498.3,83.96,77.19,104.9,101.9,2.91,2.65
1993.5,269.55,262.51,523.2,507,84.36,79.58,104,101.1,3.15,2.87
1994.5,269.65,263.72,528.5,514.8,84.46,81.27,103,100.3,3.4,3.09
1995.5,268.34,263.22,533.4,521,84.36,82.17,102.1,99.6,3.65,3.32
1996.5,266.93,262.91,537.3,526.5,84.06,82.67,101.1,98.6,3.85,3.55
1997.5,265.73,262.01,540.1,530.8,83.57,82.67,100.2,98,4.08,3.81
1998.5,264.52,261.01,542.9,534.3,83.17,82.47,99.2,97,4.27,4.03
1999.5,263.12,259.9,544.4,537.2,82.47,81.97,98.2,96.2,4.48,4.27
2000.5,261.71,258.29,545.9,539,81.87,81.37,97.3,95.4,4.7,4.46
2001.5,260,256.98,546.5,540.6,81.18,80.78,96.3,94.4,4.91,4.66
2002.5,258.19,255.08,546.7,541.3,80.48,79.98,95.3,93.6,5.11,4.89
2003.5,256.18,253.27,546.7,541.6,79.88,79.38,94.3,92.5,5.36,5.09
2004.5,253.97,251.36,545.7,541.5,79.08,78.78,93.3,91.7,5.57,5.31
2005.5,251.96,249.15,544.9,540.7,78.49,78.09,92.4,90.8,5.8,5.51
2006.5,249.55,247.34,543.1,539.8,77.69,77.59,91.3,89.7,6.03,5.76
2007.5,247.54,245.03,541.1,538.1,76.99,76.79,90.4,88.9,6.32,6.03
2008.5,245.63,243.12,538.6,536.2,76.29,76.2,89.3,87.7,6.62,6.29
2009.5,243.52,240.87,536.64,534.04,75.82,75.46,87.57,86.43,6.88,6.58
2010.5,241.24,239,534.57,532.38,74.82,74.68,86.32,85.69,7.18,6.86
2011.5,238.97,237.14,532.49,530.72,73.82,73.9,85.06,84.94,7.48,7.14
